,Product_name,Product_price,Link
10,MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) ...,"₹68,990",https://www.flipkart.com/msi-core-i7-11th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-gf63-thin-11uc-866in-gaming-laptop/p/itmcdf83d73cd74d?pid=COMGEY8WGGHKT7WZ&lid=LSTCOMGEY8WGGHKT7WZIJXAVP&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGEY8WGGHKT7WZ.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
11,MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX ...,"₹89,990",https://www.flipkart.com/msi-katana-gf66-core-i7-11th-gen-16-gb-512-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-3060-144-hz-11ue-861in-gaming-laptop/p/itm38e396a4d4d5c?pid=COMGEY8WGQXWHYXU&lid=LSTCOMGEY8WGQXWHYXU1RLJ8X&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGEY8WGQXWHYXU.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
12,Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,"₹74,990",https://www.flipkart.com/lenovo-ideapad-gaming-3-ryzen-7-octa-core-amd-r7-5800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-gaming3-15ach6d2-laptop/p/itmd92c6762aa792?pid=COMGGMRSDDRGKFGU&lid=LSTCOMGGMRSDDRGKFGUT5XTRV&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGGMRSDDRGKFGU.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
13,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹63,990",https://www.flipkart.com/asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGFYQZZFRKBNWV.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
14,ASUS TUF Gaming F17 (2022) Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹1,09,990",https://www.flipkart.com/asus-tuf-gaming-f17-2022-core-i7-12th-gen-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-144-hz-fx707zm-hx030ws-laptop/p/itm237135512c36d?pid=COMGCZUJJHZEGKUU&lid=LSTCOMGCZUJJHZEGKUUAWERHT&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGCZUJJHZEGKUU.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
15,MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 MAX Q/14...,"₹59,990",https://www.flipkart.com/msi-core-i7-11th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-max-q-144-hz-gf63-thin-11sc-852in-gaming-laptop/p/itm13297b2080945?pid=COMGEY8WZYTQCXMG&lid=LSTCOMGEY8WZYTQCXMGMTVWYN&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGEY8WZYTQCXMG.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
16,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"₹58,990",https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGF9Z7JYCFBKAP.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
17,MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/8 GB Gra...,"₹79,990",https://www.flipkart.com/msi-alpha-15-amd-advantage-ryzen-7-octa-core-5800h-8-gb-512-gb-ssd-windows-11-home-8-graphics-amd-radeon-rx-6600m-144-hz-b5eek-235in-gaming-laptop/p/itm32321e9be1e31?pid=COMGGZ234HN7DARE&lid=LSTCOMGGZ234HN7DAREXRH2PL&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGGZ234HN7DARE.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
18,ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 ...,"₹2,09,990",https://www.flipkart.com/asus-rog-zephyrus-g15-2022-90whr-battery-ryzen-9-octa-core-6900hs-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3080-165-hz-ga503rs-hq027ws-gaming-laptop/p/itm208a59681d6d7?pid=COMGFWCYGHFSZTYA&lid=LSTCOMGFWCYGHFSZTYAEXV4D0&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGFWCYGHFSZTYA.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
19,acer Nitro 5 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,"₹54,990",https://www.flipkart.com/acer-nitro-5-ryzen-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-an515-45-an515-45-r2m1-gaming-laptop/p/itm3303860d3ec69?pid=COMGEZZT4YJJ9JZM&lid=LSTCOMGEZZT4YJJ9JZM1B5RTL&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGEZZT4YJJ9JZM.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
20,ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 G...,"₹89,990",https://www.flipkart.com/asus-tuf-gaming-a15-90whr-battery-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3060-fa506qm-hn008w-laptop/p/itmcc4c1c0d500ac?pid=COMGGYY3RQKKKVKS&lid=LSTCOMGGYY3RQKKKVKSNV6PMX&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGGYY3RQKKKVKS.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
21,ASUS ROG Strix G15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/8 GB G...,"₹1,46,990",https://www.flipkart.com/asus-rog-strix-g15-90whr-battery-ryzen-7-octa-core-5800h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-300-hz-g513qr-hf302ws-gaming-laptop/p/itmbc2e11788156c?pid=COMGGJZF9WKRYJFU&lid=LSTCOMGGJZF9WKRYJFUMGKOYQ&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGGJZF9WKRYJFU.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
22,HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,"₹59,990",https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWSQE9WVW&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMG5GZXPWMGTNWS.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
23,ASUS ROG Strix Scar 17 SE (2022) with 90Whr Battery Core i9 12th Gen - (32 GB/2 TB SSD/Windows 11 Home...,"₹3,61,990",https://www.flipkart.com/asus-rog-strix-scar-17-se-2022-90whr-battery-core-i9-12th-gen-32-gb-2-tb-ssd-windows-11-home-16-gb-graphics-nvidia-geforce-rtx-3080-ti-240-hz-g733cx-ll013ws-gaming-laptop/p/itm34bbb7eb7dc66?pid=COMGGJZFFQEAH6ZH&lid=LSTCOMGGJZFFQEAH6ZHJWXI4D&marketplace=FLIPKART&q=gaming+laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_12_sc_na_na&fm=organic&iid=0969f5af-a5fa-4663-a2c0-5cc8ee80f45b.COMGGJZFFQEAH6ZH.SEARCH&ppt=None&ppn=None&ssid=mghuz8rnm80000001668353935118&qH=da5ee6f53d84b3c2
